age,housing,loan,contact,balance,job,month,campaign,pdays,poutcome,open_deposit
32,yes,no,cellular,684,admin.,may,3,-1,unknown,no
32,yes,no,unknown,184,admin.,may,4,-1,unknown,no
32,yes,no,unknown,0,admin.,may,1,-1,unknown,no
32,yes,no,unknown,620,admin.,may,3,-1,unknown,no
32,yes,no,cellular,272,admin.,oct,2,-1,unknown,yes
32,yes,yes,unknown,8749,admin.,oct,1,-1,unknown,yes
32,yes,no,cellular,555,admin.,sep,1,-1,unknown,yes
33,yes,no,cellular,867,admin.,apr,1,-1,unknown,no
33,no,no,cellular,855,admin.,apr,1,-1,unknown,yes
33,no,no,cellular,920,admin.,apr,1,-1,unknown,yes
33,no,no,cellular,607,admin.,feb,2,-1,unknown,no
33,yes,yes,cellular,0,admin.,jul,1,-1,unknown,no
33,no,no,cellular,640,admin.,jul,1,-1,unknown,yes
33,no,no,cellular,61,admin.,jul,4,-1,unknown,no
33,no,no,cellular,241,admin.,jul,1,-1,unknown,no
33,yes,no,cellular,82,admin.,jul,1,-1,unknown,no
33,no,no,unknown,3160,admin.,jun,13,-1,unknown,no
33,no,no,cellular,7608,admin.,mar,4,-1,unknown,yes
33,yes,no,cellular,177,admin.,may,1,-1,unknown,no
33,yes,yes,cellular,315,admin.,may,3,-1,unknown,no
33,yes,no,unknown,1437,admin.,may,1,-1,unknown,no
33,yes,no,telephone,30,admin.,may,2,-1,unknown,no
33,yes,no,cellular,294,admin.,may,1,-1,unknown,no
33,yes,no,unknown,598,admin.,may,1,-1,unknown,no
33,yes,no,unknown,393,admin.,may,1,-1,unknown,no
33,no,no,unknown,193,admin.,may,2,-1,unknown,no
33,yes,no,cellular,235,admin.,may,1,-1,unknown,no
33,yes,no,unknown,2,admin.,may,1,-1,unknown,no
33,no,no,cellular,891,admin.,may,2,-1,unknown,yes
33,no,yes,cellular,69,admin.,may,2,-1,unknown,no
33,no,no,cellular,2780,admin.,nov,1,-1,unknown,yes
33,yes,no,cellular,0,admin.,nov,1,-1,unknown,no
33,yes,yes,cellular,99,admin.,nov,2,-1,unknown,no
33,no,no,cellular,616,admin.,sep,3,-1,unknown,yes
